Source Item Code,Source / product name,FnB inventory identities in group,Proposed canonical inventoryItemId,Canonical product name,Canonical selection reason,Superseded identities,May source-row presence,June source-row presence,Physical locations represented,Physical location names,Count lines to repoint,External-mapping coverage,Material pack/UOM compatibility,Expected valuation delta
0033076,twinning tea english bkfst,3,761c22ae-11d0-46f4-a0eb-0bdf471a441f,TWINNING TEA ENGLISH BKFST,decided on downstream references (13 vs 4),2,Yes,Yes,3,cafe | dry storeroom | halfway house,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=6,$0.00
0049066,italian sausage rope,2,b3348d0d-8906-4237-a5db-4acea5ca08d3,Italian sausage rope,decided on downstream references (11 vs 4),1,Yes,Yes,2,main freezer | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00
0079634,canned black beans,2,5931a746-0274-4854-9482-878c58b62e2c,Canned Black Beans,decided on downstream references (13 vs 5),1,Yes,Yes,2,cafe | dry storeroom,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=kg; source case qty=6,$0.00
008025,oreo pieces,3,164c94b1-04e9-44c9-98b4-32c7c39355d2,Oreo - Pieces,decided on downstream references (14 vs 5),2,Yes,Yes,3,dry storeroom | main kitchen | pool cafe,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=4,$0.00
0091522,butter balls,4,ee666452-a66b-4e50-931c-214f77abc577,Butter Balls,decided on downstream references (19 vs 5),3,Yes,Yes,4,bay window | cafe | main freezer | main kitchen,1,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=3,$0.00
0103293,roll spitzweck,3,c7e1ce3e-a56e-46df-bdc0-f6152ff5a852,ROLL  SPITZWECK,decided on downstream references (15 vs 5),2,Yes,Yes,3,bay window | front reach in freezer | main freezer,1,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=240,$0.00
01084e-x,brioche buns,5,f640d917-27bb-4e5d-8928-f43ab19642b5,Brioche Buns,decided on downstream references (23 vs 5),4,Yes,Yes,5,bay window | bread reach in | cafe | main freezer | main kitchen,3,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00
0128298,soy milk,2,26dcb90d-badb-44ad-b1c2-f131a9044712,Soy Milk,decided on downstream references (12 vs 4),1,Yes,Yes,2,main kitchen | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=12,$0.00
0138818,juice lemon,4,8adde073-e877-4dc7-b337-af6dce2c8c57,Juice - Lemon,decided on downstream references (20 vs 5),3,Yes,Yes,4,bay window | cafe | dry storeroom | main walk in,2,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=4,$0.00
018090,sugar individual,5,dd36cd2a-2024-41f4-bea0-cda24c0e0e26,Sugar - Individual,decided on downstream references (24 vs 5),4,Yes,Yes,5,bay window | dry storeroom | halfway house | main kitchen | mens locker room,3,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00
