Source,URL,Coverage / Use,Limitations
IFDA Distributor Members,https://ifdaonline.org/distributor-members/,Primary company seed list and official company website links.,Membership list; not every U.S. distributor and includes some non-U.S. members.
IFDA Industry Facts,https://ifdaonline.org/industry-facts/,"Industry scale benchmark: approximately 17,100 U.S. facilities.",Facility count is not a public company directory.
UniPro Distributor Directory,https://www.uniprofoodservice.com/distributors/directory,"Largest independent distributor network; 400+ member HQs and 1,100+ locations.",Search is location/radius driven; no simple complete public export.
Frosty Acres Find a Member,https://frostyacres.com/distributors,Independent distributor cooperative with state-based lookup.,Interactive state map; requires systematic state-by-state extraction.
Golbon Distributors,https://golbon.com/distributors/,"Independent broadline, specialty, produce, protein and non-food distributors.",Public page does not expose a clean complete downloadable table.
FoodSupplier Directory,https://foodsupplier.com/foodservice-distributor-directory,Supplemental discovery source for smaller purveyors.,Directory quality and freshness vary; each company must be independently verified.
Thomasnet Food Products,https://www.thomasnet.com/suppliers/usa/food-products-30772305,Supplemental specialty/manufacturer/distributor discovery.,Mixes manufacturers and distributors; not restaurant-foodservice specific.
Cash-Wa Service Territory,https://web.cashwa.com,Published central U.S. multi-state footprint used for state matching.,Exact delivery remains route/ZIP dependent.
Curtze Food Service,https://www.curtze.com,Published nine-state service footprint.,State presence may still be partial.
Shamrock Locations,https://www.shamrockfoodservice.com/locations/,Official western U.S. facilities and service states.,Some states have partial territory.
Upper Lakes Facilities & Territory,https://upperlakesfoods.com/about/facilities-territory/,Official seven-state/territory description.,Michigan limited to the Upper Peninsula.
What Chefs Want Regions,https://www.whatchefswant.com/regions/,Official 12-state footprint and distribution-center summary.,Service is in selected cities/routes.
Wood Fruitticher Service Area,https://www.woodfruitticher.com/about/foodservice-distributor/,Official five-state Southeast service area.,Confirm delivery route by ZIP.
Baldor Services,https://www.baldorfood.com/services,Official Northeast and Mid-Atlantic delivery-region description.,Regional statement is broader than exact ZIP coverage.
SGC About / Territory,https://www.sgcfoodservice.com/about/,Official named Midwest market corridor.,State codes approximate the named cities.
Van Eerden History / Facilities,https://www.vaneerden.com/our-story/,Official Michigan and Indiana facility information.,Broader Midwest delivery territory not fully enumerated.
Geography verification method,https://ifdaonline.org/distributor-members/,Association directory used as the base registry; service areas verified from distributor sites where available.,Association membership is not a territory guarantee.
