Purveyor,Category,Source Group,Website,Ordering URL,Portal Status,Order Template / Import Docs,Template / Export Type,Verification Source,Notes,Verified On
A.F. Wendling's Food Service,Broadline,IFDA,https://www.afwendling.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Ace Endico Corp.,Italian / specialty broadline,IFDA,https://www.aceendico.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
AMCON Distributing Company,Convenience distribution,IFDA,https://www.amcon.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Atlas Wholesale Food Co.,Broadline,IFDA,https://www.atlaswholesale.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Avalon Foodservice, Inc.",Broadline,IFDA,https://www.avalonfoods.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Baily Foodservice,Broadline,IFDA,https://www.bailyatl.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Balford,Dairy / foodservice,IFDA,https://www.balford.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Ben E. Keith Foods,Broadline,IFDA,https://www.benekeith.com,https://www.bekentree.com/,Verified direct customer portal (Entrée),https://costguard.zendesk.com/hc/en-us/articles/235436388-Sysco-GFS-PFG-Reinhart-USF-and-Ben-E-Keith-Order-Guides-Importing-and-Exporting,Sample CSV order-guide format (third party),https://www.benekeith.com/food/resources/online/entree-system/,"Entrée supports ordering, lists, invoices, inventory and delivery tracking.",2026-07-13
BiRite Foodservice Distributors,Broadline,IFDA,https://birite.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
"Brown Foodservice, Inc.",Broadline,IFDA,https://www.brownfoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Burlington Distributing Company,Closed-system / chain supply,IFDA,https://biscuitville.com,,Closed or franchise/system-specific ordering,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Capitol Distributing,Convenience / foodservice,IFDA,https://capitoldist.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Carolina Food Service of Loris,Broadline,IFDA,https://www.carolinafoodservice.com,,Ordering portal not publicly verified,,No public template located in this pass,https://ifdaonline.org/distributor-members/,Direct website verified from directory/source; customer ordering route requires additional account-level or site-specific verification.,2026-07-13
Cash-Wa Distributing,Broadline,IFDA,https://web.cashwa.com,https://portal2.ftnirdc.com/en/cswa,Verified direct customer portal,,No public template found,https://web.cashwa.com/customer-portal,"Portal supports online orders, order guides and purchase-history reports.",2026-07-13
