Source Item Code,Source / product name,FnB inventory identities in group,Proposed canonical inventoryItemId,Canonical product name,Canonical selection reason,Superseded identities,May source-row presence,June source-row presence,Physical locations represented,Physical location names,Count lines to repoint,External-mapping coverage,Material pack/UOM compatibility,Expected valuation delta,exclusion_reason,margin_gap,sibling_mapping_records
09-71510,beef eye of round,2,655a9caf-fd42-47cc-8717-00ab5f532864,Beef - Eye of Round,decided on existing historical use (1 vs 0),1,No,Yes,2,main freezer | main walk in,0,2 mapping record(s) across 1 of 2 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,sibling_external_mapping,1,2
2434371,italian sausage bulk,3,032d0ae4-3dc2-487f-9f16-bfd433172f12,Italian Sausage Bulk,decided on existing historical use (2 vs 0),2,Yes,No,3,bay window | main freezer | main walk in,1,2 mapping record(s) across 1 of 3 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00,sibling_external_mapping,2,2
430016,ancho reyes chile liqueur,2,e1ef70aa-7701-4ede-8106-31e0d1debbbf,Ancho Reyes - Chile Liqueur,decided on existing historical use (1 vs 0),1,No,Yes,2,bay window bar | liquor cage,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=1,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00,sibling_external_mapping,1,1
7200946,italian sausage bulk,3,032d0ae4-3dc2-487f-9f16-bfd433172f12,Italian Sausage Bulk,decided on existing historical use (2 vs 0),2,No,Yes,3,bay window | main freezer | main walk in,1,2 mapping record(s) across 1 of 3 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=2,$0.00,sibling_external_mapping,2,2
7915166,beef eye of round,2,655a9caf-fd42-47cc-8717-00ab5f532864,Beef - Eye of Round,decided on existing historical use (1 vs 0),1,Yes,No,2,main freezer | main walk in,0,2 mapping record(s) across 1 of 2 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,sibling_external_mapping,1,2
snapper american fillets,snapper fillet,2,e085c29a-60d6-4847-a395-1fa3c5e99be9,Snapper - Fillet,decided on existing historical use (2 vs 0),1,No,Yes,2,fish file | main walk in,0,2 mapping record(s) across 1 of 2 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code; sibling_external_mapping,2,2
snapper american fillets use 6up sk/off pbo,snapper fillet,2,e085c29a-60d6-4847-a395-1fa3c5e99be9,Snapper - Fillet,decided on existing historical use (2 vs 0),1,Yes,No,2,fish file | main walk in,0,2 mapping record(s) across 1 of 2 identity/identities; sibling records=2,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code; sibling_external_mapping,2,2
BKST W/W OA 5/8,oat wheat,3,cd67a1e9-70e1-4be9-904a-2acfb7976e70,Oat Wheat,decided on downstream references (15 vs 4),2,Yes,Yes,3,bread reach in | cafe | main kitchen,0,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=case; source case qty=1,$0.00,free_text_source_code,11,0
BLACK GROUPER FILLETS PBO SKIN OFF,grouper fillet,5,6899692d-95b8-46cf-9bdd-25a761ac210e,Grouper - Fillet,decided on downstream references (10 vs 8),4,Yes,No,5,bay window | cafe | fish file | front reach in freezer | main freezer,7,2 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,2,0
BRONZINO FILLET UN-SIZED SKIN-ON PBO,branzino,2,f856af37-1bb8-4f89-ae4d-08d3015640ed,Branzino,decided on downstream references (10 vs 4),1,Yes,Yes,2,bay window bar | fish file,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,6,0
BSKT MARBLE 5/8,bskt marble 5 8,2,ce803a37-2ed1-40a6-8e6c-26fe8bf9d595,BSKT MARBLE 5/8,decided on downstream references (11 vs 5),1,Yes,Yes,2,bread reach in | main freezer,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,6,0
BSKT SOUR 5/8,sourdough,6,e0909ae2-1bc4-4159-9cda-5415e7c1c5c5,Sourdough,decided on downstream references (25 vs 5),5,Yes,Yes,6,bay window | bread reach in | cafe | front reach in freezer | main freezer | main kitchen,3,1 mapping record(s) across 1 of 6 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,20,0
BSKT W/W Oat 5/8,bskt w w oat 5 8,5,102b90e3-4e4a-49da-b90a-699f45fca106,BSKT W/W OAT 5/8,decided on downstream references (22 vs 5),4,Yes,Yes,5,bread reach in | cafe | grill room | main freezer | main kitchen,2,1 mapping record(s) across 1 of 5 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,17,0
BV CAB SAUV LATOUR PRIV RSV 21 6B 750ML,bv cab sauv latour priv rsv 21 6b 750ml,2,93cf65a5-79c0-46e6-b6ac-32e33cf0aefb,BV CAB SAUV LATOUR PRIV RSV 21 6B 750ML,decided on downstream references (11 vs 5),1,Yes,Yes,2,liquor cage | wine cellar,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00,free_text_source_code,6,0
"Baja Precious - High Oleic Sunflower Oil, 1 Gallon Jug - Expeller Pressed, Wonderful in the Kitchen, Amazing on Your Skin and a Million Other Uses, Bottled in the USA",oil sunflower,2,b54b06d1-a683-417c-a01e-31c4736a25d5,Oil - Sunflower,decided on downstream references (12 vs 4),1,Yes,Yes,2,dry storeroom | pastry shop,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=gal; source case qty=1,$0.00,free_text_source_code,8,0
"Great River Organic Milling, Specialty Flour, Wheat Bran, Stone Ground, Organic, 40-Pounds (Pack of 1)",whole wheat flour,2,e6f971c1-2c3d-4083-b4d0-e9bed569a680,Whole Wheat - Flour,decided on downstream references (11 vs 4),1,Yes,Yes,2,dry storeroom | pastry shop,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,7,0
HIGH NOON CKTL PEACH LOOSE CAN 24PK 355M,high noon peach,9,06d37f9f-e601-4071-88ad-c6d440aadbc5,High Noon - Peach,decided on downstream references (32 vs 5),8,Yes,Yes,9,bay window bar | beer cage | beverage carts | grill room | halfway house | liquor cage | member lounge | mens locker room | pool cafe,2,1 mapping record(s) across 1 of 9 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,27,0
"Hapi Hot Wasabi Peas, 9.9 Ounce Tins (Pack of 4)",hapi hot wasabi peas 9 9 ounce tins pack of 4,2,85c879d6-fce1-419f-80c6-8606c347b29a,"HAPI HOT WASABI PEAS, 9.9 OUNCE TINS (PACK OF 4)",decided on downstream references (13 vs 5),1,Yes,Yes,2,cafe | dry storeroom,1,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,8,0
JAIL ISLAND PC SK/OFF 4-5,salmon fillet,4,2c6053aa-f5cc-4bdb-8978-40d6cfc9a8fd,Salmon - Fillet,decided on downstream references (21 vs 5),3,Yes,Yes,4,bay window | cafe | fish file | main freezer,2,1 mapping record(s) across 1 of 4 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,16,0
LEMON OLIVE OIL - 500ML (16.5 Oz),olive oil extra virgin,2,da62ae63-68ff-4a08-a967-05e3b0ec4e7f,Olive Oil - Extra Virgin,decided on downstream references (8 vs 6),1,No,Yes,2,dry storeroom | main kitchen,0,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ml; source case qty=1,$0.00,free_text_source_code,2,0
MAHI MAHI FILLET SKIN/OFF,mahi mahi fillet,3,2b4b7a84-d1d4-449b-b968-2f6456eb1603,Mahi Mahi - Fillet,decided on downstream references (8 vs 7),2,No,Yes,3,fish file | front reach in freezer | main freezer,1,2 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,1,0
MANDARIN OLIVE OIL - 250ML (8.5 Oz),mandarin olive oil 250ml 8 5 oz,2,45087bdf-3a4b-41ed-a7f4-34b4607eb031,MANDARIN OLIVE OIL - 250ML (8.5 OZ),decided on downstream references (12 vs 4),1,Yes,Yes,2,dry storeroom | main kitchen,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=1,$0.00,free_text_source_code,8,0
MONTHELIE DOUH PORCH MEIX GARNI 20 750ML,monthelie douh porch meix garni 20 750ml,2,37c895d9-2322-45f5-8f9b-f061d01dc764,MONTHELIE DOUH PORCH MEIX GARNI 20 750ML,decided on downstream references (11 vs 4),1,Yes,Yes,2,liquor cage | wine cellar,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00,free_text_source_code,7,0
OYSTERS 1/2 SHELL 144CT SALTY SEA TRAY PK 12/12CT,oysters 1 2 shell 144ct salty sea tray pk 12 12ct,2,997795c1-705c-47f2-b4a3-d8811508f363,OYSTERS 1/2 SHELL 144CT SALTY SEA TRAY PK 12/12CT,decided on downstream references (10 vs 4),1,Yes,Yes,2,bay window | main freezer,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=ea; source case qty=1,$0.00,free_text_source_code,6,0
PROVERB CAB SAUV CA STLV 750ML,proverb cab sauv ca stlv 750ml,3,62356898-06bb-45e9-ab91-aedbb5ef881e,PROVERB CAB SAUV CA STLV 750ML,decided on downstream references (15 vs 5),2,Yes,Yes,3,bay window bar | liquor cage | mens locker room,2,1 mapping record(s) across 1 of 3 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=not supplied; source case qty=not supplied,$0.00,free_text_source_code,10,0
"Pasta : Rigatoni egg , extruded",pasta rigatoni,2,ed818e11-5423-4991-a4ef-ac316b09f8ed,Pasta - Rigatoni,decided on downstream references (10 vs 8),1,Yes,No,2,bay window | main freezer,2,2 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=oz; source case qty=1,$0.00,free_text_source_code,2,0
SHRIMP U/12 NATURAL WHITE GULF PRINCESS EZ PEEL 20#,shrimp,2,19a24d1e-77ac-4d4a-911e-828f90581b2d,Shrimp,decided on downstream references (10 vs 4),1,Yes,Yes,2,fish file | main walk in,0,1 mapping record(s) across 1 of 2 identity/identities; sibling records=0,Compatible; 1 candidate pack/UOM signature(s); source UOM=lb; source case qty=1,$0.00,free_text_source_code,6,0
